Team,ELO,FPI
Arizona,1541,1526
Atlanta,1462,1495
Baltimore,1577,1553
Buffalo,1534,1510
Carolina,1536,1515
Chicago,1419,1444
Cincinnati,1540,1525
Cleveland,1422,1409
Dallas,1590,1592
Denver,1595,1622
Detroit,1538,1501
Green Bay,1601,1653
Houston,1505,1508
Indianapolis,1581,1635
Jacksonville,1357,1351
Kansas City,1540,1532
Miami,1484,1530
Minnesota,1479,1477
N.Y. Giants,1480,1496
N.Y. Jets,1440,1458
New England,1675,1653
New Orleans,1486,1540
Oakland,1389,1346
Philadelphia,1545,1564
Pittsburgh,1552,1536
San Diego,1523,1497
San Francisco,1529,1463
Seattle,1678,1642
St. Louis,1477,1484
Tampa Bay,1377,1358
Tennessee,1339,1349
Washington,1371,1394